Product Name,Top Category,Category Name,Country,Brand,SKU_ARRAY,GTIN
Diva Vibes Face Sheet Mask 4 X 28g,Toiletries,Compressed Skincare-Mask Sheets,Nigeria,Skinvibes by L'Avyanna,"[
  ""LAV-002""
]",''
Aace Foods Nutmeg Powder 12 X 60g,Brand Food,Herbs & Spices,Nigeria,AACE Foods,"[
  ""AFP-020""
]",''
Aace Foods Thyme 12 X 15g,Brand Food,Herbs & Spices,Nigeria,AACE Foods,"[
  ""AFP-025""
]",''
Sosa Fruit Drink Orange 6 X 1l,Beverages,Juice,Nigeria,Sosa,"[
  ""BNE-067"",
  ""DTS-095"",
  ""DFM-031"",
  ""JMB-017"",
  ""SEI-060"",
  ""MZS-147"",
  ""HLS-017"",
  ""TGV-262"",
  ""NIV-108"",
  ""MTU-185"",
  ""GGP-079"",
  ""OJS-055"",
  ""FSS-061"",
  ""MTS-124"",
  ""MBS-034"",
  ""NGO-261"",
  ""AHS-1954"",
  ""AKT-129"",
  ""MGC-017"",
  ""HPS-041"",
  ""OBQ-041"",
  ""RGR-041"",
  ""CTF-041"",
  ""LTC-041"",
  ""IZE-041"",
  ""ANC-079"",
  ""HNE-079"",
  ""BEN-041"",
  ""FAB-079"",
  ""YAB-059"",
  ""DDV-022"",
  ""IKE-041"",
  ""BBC-041"",
  ""SHN-041"",
  ""DTM-041"",
  ""DZE-041"",
  ""LKH-041"",
  ""NDG-032"",
  ""VGR-040"",
  ""ANL-024"",
  ""MDN-049"",
  ""DMS-048"",
  ""TAV-048"",
  ""HOM-113"",
  ""VVW-125"",
  ""AMC-044"",
  ""RGV-185""
]",''
Cway Nutri Choco Chocolate Malt Milk Drink 12 X 40cl,Beverages,Fruit-Flavoured Drinks,Nigeria,CWAY,"[
  ""DTS-060"",
  ""SNL-025"",
  ""GVL-054"",
  ""RTS-009""
]",''
Tom Tom Strong Menthol Flavoured Candy 24 X 152g,Food,Sweets & Chocolate,Nigeria,Tom Tom,"[
  ""HAS-041"",
  ""NFS-018"",
  ""EBL-066"",
  ""TSH-142"",
  ""BGS-150"",
  ""NMT-034"",
  ""HPI-064"",
  ""CFO-072"",
  ""CFO-067"",
  ""STS-234"",
  ""FDU-006"",
  ""HSF-030"",
  ""HSF-016"",
  ""BSB-117"",
  ""FGE-284"",
  ""WSE-284"",
  ""EGV-002"",
  ""AME-286"",
  ""BBE-027"",
  ""BBE-014"",
  ""DGO-207"",
  ""EBF-209"",
  ""DFV-213""
]",''
Pure Bliss Chocolate Cream Wafer 72 X 65g,Food,Biscuits,Nigeria,Pure Bliss,"[
  ""HAS-007"",
  ""PTF-007"",
  ""MUS-007"",
  ""BGS-006"",
  ""SGV-001"",
  ""MS-127"",
  ""KGR-126"",
  ""FSE-128"",
  ""MMG-127"",
  ""MNC-129"",
  ""AGT-033"",
  ""MSM-079"",
  ""GCE-005"",
  ""CFO-158"",
  ""SSD-034"",
  ""MMD-021"",
  ""ANN-001"",
  ""FSL-003"",
  ""BSB-006"",
  ""NGO-016"",
  ""CHA-117"",
  ""IFR-128"",
  ""OKN-009""
]",''
Chi Exotic Pineapple & Coconut Nectar 10 X 500ml,Beverages,Juice,Nigeria,Chi,"[
  ""AGC-050"",
  ""LVE-061"",
  ""DES-072"",
  ""DUV-059""
]",''
Yo Yo Choco Eclair Pops 8 X 672g,Food,Lollipops,Nigeria,Yo-Yo!,"[
  ""MLV-078""
]",''
Contractor Pop Emulsion Paint 1 X 20l,Hardware,Paint,Nigeria,Contractor Pop,"[
  ""SRN-005""
]",''
Nestlé Golden Morn Maize And Soya Protein 6 X 800g,Food,Cereals & Granola,Nigeria,Golden Morn,"[
  ""LVE-090""
]",6281058192888
Family Care Aqua Fresh Soap 30 X 150g,Toiletries,Bar Soap,Nigeria,Family Care,"[
  ""EXS-094""
]",''
21d Iphone 13 Screen Protector,Electronics,Screen Protectors,Nigeria,21D,"[
  ""MAC-005""
]",''
Ok Pop Tongue Painter Blueberry Flavoured Lollipop 10 X 7g,Food,Sweets & Chocolate,Nigeria,OK Foods,"[
  ""PTF-066"",
  ""BGS-086""
]",''
Malta Guinness Ret 330ml X 24,Beverages,Malt,Nigeria,Malta Guinness,"[
  ""AIS-099"",
  ""JGL-099"",
  ""FSG-099"",
  ""CFA-099"",
  ""ARN-099"",
  ""SAN-099"",
  ""MVG-099"",
  ""VIC-099"",
  ""TAS-099"",
  ""JDS-099"",
  ""ASG-099"",
  ""MCL-099""
]",''
Shami Milk Bites Hard Candy 50 X 20 X 4g,Food,Sweets & Chocolate,Nigeria,Shami,"[
  ""BGS-160"",
  ""BSB-125""
]",''
